app,teks,rating,sentimen
id.dana,ga membantu banget bantuan nya,1,Negatif
id.dana,bgus,5,Positif
id.dana,matapp,4,Positif
id.dana,mohon untuk mebgaktif kan fitur dana cicil di akun sya,1,Negatif
id.dana,ngolake aplikasi dana ika ida pcak di pakai,2,Negatif
id.dana,sangat baik,5,Positif
id.dana,"di donlod dan di buka kok beku ksku kayak patung sekali ada respon muncul tulisan ""DANA terhenti"" bahaya gmn kld ada saldonya jutaan yaa.. klo ga bs di buka begini padahal makai aplikasi ini sdah 10 thun lebih.",1,Negatif
id.dana,bagus,5,Positif
id.dana,aktifitas DANA saya tdk bisa dibuka,5,Positif
id.dana,cukup baik sesuai harapan,5,Positif
id.dana,udah pake lama.. masuk akun pakai segala scan wajah minta nomor lagi.terus sudah mengikuti langkah akun. setelah scan wajah masuk gak muncul muncul hanya warna putih terus tolong diperbaiki,4,Positif
id.dana,Godd,5,Positif
id.dana,bantu acc dana cicil,5,Positif
id.dana,kenapa fitur dana cicilan saya tidak keluar,2,Negatif
id.dana,dana cicilan GK muncul,5,Positif
id.dana,tolongg dong inii kok aku ga bisaa topup game/apk lagii yaa padahll uang udh banyak tpii kok error yaa ini gimnaa apa karena akuu aku ga punya ktp/masih di bawah umr ya tolong inii gimnaa tolong diperbaiki yaa min 😭,4,Positif
id.dana,mantap,5,Positif
id.dana,mantap,5,Positif
id.dana,transaksi lebih mudah sangat membantu sya krreeeeen,5,Positif
id.dana,jadi males gunain karena mau top up aja harus ada admin. itu belum transaksi-transaksi lainnya.,1,Negatif
id.dana,baguss,5,Positif
id.dana,terbaik,5,Positif
id.dana,"thanks dana sudah lancar sekarang,semoga kedepannya makin bagus 😊",5,Positif
id.dana,ok,5,Positif
id.dana,good,5,Positif
id.dana,mantap,1,Negatif
id.dana,katanya di istal buat baru malah masih gitu2 aja koneksi jaringannya masih hilang.aplikasi apaan begini.koneksi jaringan terus terputus.kecuwali pake WiFi dan hosport.jika takbisa. disetabilkan tolong hapus data saya dari aplikasi Dana ini.buat kecewa aja.udah dicoba klu pake WiFi dan dihospot normal.yapi klu pake data seluler kendala lagi bikin kesal aja lebih baik hapus data saya dari dana ini. Oke,2,Negatif
id.dana,baik/stabil,5,Positif
